HAUL_ID,SPECIMEN_BIOMETRIC_ID,SPECIMEN_ID,BIOMETRIC_ID,VALUE,UNITS,BIOMETRIC_NAME,COMPOSITE_NAME,BIOMETRIC_TYPE_ID,BIOMETRIC_TYPE,CODE_VALUE_MEANING,RECORDING_DEVICE,RECORDER,RECORD_TIMESTAMP,DATABASE_STATUS,STATUS_TIMESTAMP,DEVICE_RECORD_ID
1,17,6,5,2,,"CRAB_SHELL_CONDITION","Shell Condition",1,"CODE","Firm to hard, clean","5fdbeff43a5bc3ff","<not set>","02/15/2024 15:52:57",0,"02/15/2024 15:52:57",17
1,18,6,6,2,,"CRAB_EGG_COLOR","Egg Color",1,"CODE","Purple","5fdbeff43a5bc3ff","<not set>","02/15/2024 15:52:57",0,"02/15/2024 15:52:57",18
1,19,6,7,1,,"CRAB_EGG_CONDITION","Egg Condition",1,"CODE","Uneyed eggs","5fdbeff43a5bc3ff","<not set>","02/15/2024 15:52:57",0,"02/15/2024 15:52:57",19
1,20,6,8,5,,"CRAB_EGG_CLUTCH_SIZE","Clutch Size",1,"CODE","3/4 full","5fdbeff43a5bc3ff","<not set>","02/15/2024 15:52:57",0,"02/15/2024 15:52:57",20
1,21,6,11,82,"MM","CARAPACE_LENGTH","Carapace Length",5,"FLOAT",,"5fdbeff43a5bc3ff","<not set>","02/15/2024 15:52:57",0,"02/15/2024 15:52:57",21
1,16,6,14,2,,"SEX","Sex",1,"CODE","Female","5fdbeff43a5bc3ff","<not set>","02/15/2024 15:52:57",0,"02/15/2024 15:52:57",16
1,23,7,5,2,,"CRAB_SHELL_CONDITION","Shell Condition",1,"CODE","Firm to hard, clean","5fdbeff43a5bc3ff","<not set>","02/15/2024 15:53:01",0,"02/15/2024 15:53:01",23
1,24,7,6,2,,"CRAB_EGG_COLOR","Egg Color",1,"CODE","Purple","5fdbeff43a5bc3ff","<not set>","02/15/2024 15:53:01",0,"02/15/2024 15:53:01",24
1,25,7,7,1,,"CRAB_EGG_CONDITION","Egg Condition",1,"CODE","Uneyed eggs","5fdbeff43a5bc3ff","<not set>","02/15/2024 15:53:01",0,"02/15/2024 15:53:01",25
1,26,7,8,5,,"CRAB_EGG_CLUTCH_SIZE","Clutch Size",1,"CODE","3/4 full","5fdbeff43a5bc3ff","<not set>","02/15/2024 15:53:01",0,"02/15/2024 15:53:01",26
1,27,7,11,90,"MM","CARAPACE_LENGTH","Carapace Length",5,"FLOAT",,"5fdbeff43a5bc3ff","<not set>","02/15/2024 15:53:01",0,"02/15/2024 15:53:01",27
1,22,7,14,2,,"SEX","Sex",1,"CODE","Female","5fdbeff43a5bc3ff","<not set>","02/15/2024 15:53:01",0,"02/15/2024 15:53:01",22
1,29,8,5,2,,"CRAB_SHELL_CONDITION","Shell Condition",1,"CODE","Firm to hard, clean","5fdbeff43a5bc3ff","<not set>","02/15/2024 15:53:15",0,"02/15/2024 15:53:15",29
1,30,8,6,0,,"CRAB_EGG_COLOR","Egg Color",1,"CODE","No eggs","5fdbeff43a5bc3ff","<not set>","02/15/2024 15:53:15",0,"02/15/2024 15:53:15",30
1,31,8,7,0,,"CRAB_EGG_CONDITION","Egg Condition",1,"CODE","No eggs","5fdbeff43a5bc3ff","<not set>","02/15/2024 15:53:15",0,"02/15/2024 15:53:15",31
1,32,8,8,0,,"CRAB_EGG_CLUTCH_SIZE","Clutch Size",1,"CODE","Immature","5fdbeff43a5bc3ff","<not set>","02/15/2024 15:53:15",0,"02/15/2024 15:53:15",32
1,33,8,11,45,"MM","CARAPACE_LENGTH","Carapace Length",5,"FLOAT",,"5fdbeff43a5bc3ff","<not set>","02/15/2024 15:53:15",0,"02/15/2024 15:53:15",33
1,28,8,14,2,,"SEX","Sex",1,"CODE","Female","5fdbeff43a5bc3ff","<not set>","02/15/2024 15:53:15",0,"02/15/2024 15:53:15",28
1,35,9,5,2,,"CRAB_SHELL_CONDITION","Shell Condition",1,"CODE","Firm to hard, clean","5fdbeff43a5bc3ff","<not set>","02/15/2024 15:53:18",0,"02/15/2024 15:53:18",35
1,36,9,6,0,,"CRAB_EGG_COLOR","Egg Color",1,"CODE","No eggs","5fdbeff43a5bc3ff","<not set>","02/15/2024 15:53:18",0,"02/15/2024 15:53:18",36
1,37,9,7,0,,"CRAB_EGG_CONDITION","Egg Condition",1,"CODE","No eggs","5fdbeff43a5bc3ff","<not set>","02/15/2024 15:53:18",0,"02/15/2024 15:53:18",37
1,38,9,8,0,,"CRAB_EGG_CLUTCH_SIZE","Clutch Size",1,"CODE","Immature","5fdbeff43a5bc3ff","<not set>","02/15/2024 15:53:18",0,"02/15/2024 15:53:18",38
1,39,9,11,36,"MM","CARAPACE_LENGTH","Carapace Length",5,"FLOAT",,"5fdbeff43a5bc3ff","<not set>","02/15/2024 15:53:18",0,"02/15/2024 15:53:18",39
1,34,9,14,2,,"SEX","Sex",1,"CODE","Female","5fdbeff43a5bc3ff","<not set>","02/15/2024 15:53:18",0,"02/15/2024 15:53:18",34
1,41,10,5,2,,"CRAB_SHELL_CONDITION","Shell Condition",1,"CODE","Firm to hard, clean","5fdbeff43a5bc3ff","<not set>","02/15/2024 15:53:22",0,"02/15/2024 15:53:22",41
1,42,10,6,0,,"CRAB_EGG_COLOR","Egg Color",1,"CODE","No eggs","5fdbeff43a5bc3ff","<not set>","02/15/2024 15:53:22",0,"02/15/2024 15:53:22",42
1,43,10,7,0,,"CRAB_EGG_CONDITION","Egg Condition",1,"CODE","No eggs","5fdbeff43a5bc3ff","<not set>","02/15/2024 15:53:22",0,"02/15/2024 15:53:22",43
1,44,10,8,0,,"CRAB_EGG_CLUTCH_SIZE","Clutch Size",1,"CODE","Immature","5fdbeff43a5bc3ff","<not set>","02/15/2024 15:53:22",0,"02/15/2024 15:53:22",44
1,45,10,11,41,"MM","CARAPACE_LENGTH","Carapace Length",5,"FLOAT",,"5fdbeff43a5bc3ff","<not set>","02/15/2024 15:53:22",0,"02/15/2024 15:53:22",45
1,40,10,14,2,,"SEX","Sex",1,"CODE","Female","5fdbeff43a5bc3ff","<not set>","02/15/2024 15:53:22",0,"02/15/2024 15:53:22",40
1,8,3,5,2,,"CRAB_SHELL_CONDITION","Shell Condition",1,"CODE","Firm to hard, clean","5fdbeff43a5bc3ff","<not set>","02/15/2024 15:51:53",0,"02/15/2024 15:51:53",8
1,9,3,11,136,"MM","CARAPACE_LENGTH","Carapace Length",5,"FLOAT",,"5fdbeff43a5bc3ff","<not set>","02/15/2024 15:51:53",0,"02/15/2024 15:51:53",9
1,7,3,14,1,,"SEX","Sex",1,"CODE","Male","5fdbeff43a5bc3ff","<not set>","02/15/2024 15:51:53",0,"02/15/2024 15:51:53",7
1,11,4,5,2,,"CRAB_SHELL_CONDITION","Shell Condition",1,"CODE","Firm to hard, clean","5fdbeff43a5bc3ff","<not set>","02/15/2024 15:51:56",0,"02/15/2024 15:51:56",11
1,12,4,11,50,"MM","CARAPACE_LENGTH","Carapace Length",5,"FLOAT",,"5fdbeff43a5bc3ff","<not set>","02/15/2024 15:51:56",0,"02/15/2024 15:51:56",12
1,10,4,14,1,,"SEX","Sex",1,"CODE","Male","5fdbeff43a5bc3ff","<not set>","02/15/2024 15:51:56",0,"02/15/2024 15:51:56",10
1,14,5,5,2,,"CRAB_SHELL_CONDITION","Shell Condition",1,"CODE","Firm to hard, clean","5fdbeff43a5bc3ff","<not set>","02/15/2024 15:51:58",0,"02/15/2024 15:51:58",14
1,15,5,11,36,"MM","CARAPACE_LENGTH","Carapace Length",5,"FLOAT",,"5fdbeff43a5bc3ff","<not set>","02/15/2024 15:51:58",0,"02/15/2024 15:51:58",15
1,13,5,14,1,,"SEX","Sex",1,"CODE","Male","5fdbeff43a5bc3ff","<not set>","02/15/2024 15:51:58",0,"02/15/2024 15:51:58",13
1,2,1,5,2,,"CRAB_SHELL_CONDITION","Shell Condition",1,"CODE","Firm to hard, clean","5fdbeff43a5bc3ff","<not set>","02/15/2024 15:51:06",0,"02/15/2024 15:51:06",2
1,3,1,10,36,"MM","CARAPACE_WIDTH","Carapace Width",5,"FLOAT",,"5fdbeff43a5bc3ff","<not set>","02/15/2024 15:51:06",0,"02/15/2024 15:51:06",3
1,1,1,14,1,,"SEX","Sex",1,"CODE","Male","5fdbeff43a5bc3ff","<not set>","02/15/2024 15:51:06",0,"02/15/2024 15:51:06",1
1,5,2,5,2,,"CRAB_SHELL_CONDITION","Shell Condition",1,"CODE","Firm to hard, clean","5fdbeff43a5bc3ff","<not set>","02/15/2024 15:51:13",0,"02/15/2024 15:51:13",5
1,6,2,10,40,"MM","CARAPACE_WIDTH","Carapace Width",5,"FLOAT",,"5fdbeff43a5bc3ff","<not set>","02/15/2024 15:51:13",0,"02/15/2024 15:51:13",6
1,4,2,14,1,,"SEX","Sex",1,"CODE","Male","5fdbeff43a5bc3ff","<not set>","02/15/2024 15:51:13",0,"02/15/2024 15:51:13",4
